id,project_id,parent_question_id,question,context,source,source_text,priority,status,created_at,updated_at
1,1,,"To establish a baseline, what current systems, applications, and data flows constitute 'Flowmart'? Please provide a system architecture diagram or data flow diagram if available. (Target Stakeholder: Enterprise Architect/Technical Lead)","Clarifies the precise scope of 'Flowmart' within the enterprise architecture, providing a necessary foundation for future-state design. Understanding the existing systems and their relationships is crucial for identifying areas for improvement and transformation. This question replaces the initial broad question by focusing on specific artifacts.",Requirement: REQ-01,Understand and review documents related to enterprise architecture standards & guidelines to create Flowmart future state,1,partially_answered,2025-05-16 11:08:14,2025-05-16 11:21:31
2,1,,"Can you provide a comprehensive list of the relevant enterprise architecture standards and guidelines applicable to Flowmart, including links to the documents, their current versions, and the specific sections pertaining to cloud adoption, security, data governance, and integration patterns? (Target Stakeholder: Enterprise Architect)",Ensures all relevant architectural constraints and recommendations are considered during the future-state design. This question consolidates the first question and adds key areas of focus for future architecture.,Requirement: REQ-01,Understand and review documents related to enterprise architecture standards & guidelines to create Flowmart future state,1,partially_answered,2025-05-16 11:08:14,2025-05-16 11:21:38
3,1,,"What are the critical non-functional requirements (NFRs) for the 'Flowmart future state' architecture, specifically related to scalability (transactions per second), availability (uptime percentage), security (compliance standards), and performance (latency), and how will these be measured and validated? (Target Stakeholder: Business Analyst/Technical Lead)",Focuses on quantifiable performance and operational metrics that the future-state architecture must achieve. Defining these metrics upfront ensures that the design meets the specific business and technical needs of Flowmart and allows for proper validation after implementation.,Requirement: REQ-01,Understand and review documents related to enterprise architecture standards & guidelines to create Flowmart future state,2,unanswered,2025-05-16 11:08:14,2025-05-16 11:08:14
4,1,,"Who is the designated approver/governance body for the 'Flowmart future state' architecture, and what architectural review checklist or framework (e.g., TOGAF ADM compliance) will be used during the approval process? (Target Stakeholder: Project Manager/Enterprise Architect)","Identifies the decision-making authority and the specific criteria used to evaluate the proposed architecture, ensuring alignment with governance processes and facilitating a smooth approval workflow.",Requirement: REQ-01,Understand and review documents related to enterprise architecture standards & guidelines to create Flowmart future state,3,unanswered,2025-05-16 11:08:14,2025-05-16 11:08:14
5,1,,"What are the current key performance indicators (KPIs) and service level objectives (SLOs) for Flowmart, and how will the proposed future-state architecture improve them (e.g., latency, throughput, availability, cost)?",Understanding the current performance and desired improvements is critical for validating the success of the future-state architecture. This targets quantifiable metrics.,Requirement: REQ-02,Creating future state architecture for Flowmart,1,unanswered,2025-05-16 11:08:14,2025-05-16 11:08:14
6,1,,"Beyond documented standards, are there any undocumented architectural constraints, technical debts, or integration complexities within Travelers IT that could impact the Flowmart architecture (e.g., specific versions of software, dependencies on legacy systems, limitations of the existing infrastructure)?",Uncovering hidden constraints and existing technical debt is crucial for realistic architecture design. This ensures we don't propose solutions that will face unexpected roadblocks during implementation.,Requirement: REQ-02,Creating future state architecture for Flowmart,1,unanswered,2025-05-16 11:08:14,2025-05-16 11:08:14
7,1,,"What are the expected non-functional requirements (NFRs) for Flowmart in the future state, specifically regarding scalability (peak load, growth rate), security (authentication, authorization, data protection), performance (response times, throughput), and maintainability (monitoring, logging, automated deployments)? Can you provide specific metrics or targets for each NFR?",Detailed NFRs are essential for designing a robust and scalable architecture.  Specifying desired performance and availability characteristics will directly influence technology choices.,Requirement: REQ-02,Creating future state architecture for Flowmart,2,unanswered,2025-05-16 11:08:14,2025-05-16 11:08:14
8,1,,"Given the anticipated future state, what are the preferred technology stacks or platforms (e.g., specific cloud providers, container orchestration platforms, message queues, databases) mandated or strongly recommended by Travelers IT, along with the rationale behind these preferences?","Understanding preferred technologies ensures alignment with existing infrastructure and strategic technology direction, minimizing integration challenges and maximizing reuse.",Requirement: REQ-02,Creating future state architecture for Flowmart,2,unanswered,2025-05-16 11:08:14,2025-05-16 11:08:14
9,1,,"Specifically for the Flowmart modernization, can you provide direct links or document names for the mandatory enterprise architecture standards and guidelines related to application security, data governance, integration patterns, and technology stack (e.g., approved frameworks, coding standards, infrastructure requirements)?",Focuses on actionable information: direct pointers to the specific EA standards relevant to key technical areas of the Flowmart project. This is more efficient than a general document search.,Requirement: REQ-03,"Understand approved enterprise architecture standards and guidelines, and compliance requirements",1,unanswered,2025-05-16 11:08:14,2025-05-16 11:08:14
10,1,,"What specific regulatory (e.g., GDPR, CCPA) and internal Travelers' policies (e.g., data retention, access control, PII handling) are applicable to the Flowmart modernization, and how are these policies enforced at the application and data layers? Please provide reference documentation and any related tooling requirements.",Combines the need for understanding compliance with the practical question of how that compliance is achieved in the application. It also highlights the need for understanding enforcement mechanisms and tooling.,Requirement: REQ-03,"Understand approved enterprise architecture standards and guidelines, and compliance requirements",1,unanswered,2025-05-16 11:08:14,2025-05-16 11:08:14
